Rank,,Medium Income (All Returns),
,County,,
,,,
1,  Marin,"$74,077",
2,  San Francisco,"$72,289",
3,  Santa Clara,"$70,969",
4,  San Mateo,"$70,367",
5,  Alameda,"$60,757",
6,  Placer,"$57,945",
7,  Contra Costa,"$57,409",
8,  El Dorado,"$51,895",
9,  Napa,"$51,525",
10,  Sonoma,"$50,303",
11,  Solano,"$48,417",
12,  San Luis Obispo,"$47,557",
13,  San Benito,"$47,341",
14,  Orange,"$45,719",
15,  Santa Cruz,"$45,388",
16,  Lassen,"$45,101",
17,  Ventura,"$44,986",
18,  Amador,"$44,292",
19,  San Diego,"$44,267",
20,  Yolo,"$44,231",
21,  Calaveras,"$43,184",
22,  Sacramento,"$42,776",
23,  Nevada,"$42,138",
24,  Santa Barbara,"$41,532",
25,  Inyo,"$41,501",
26,  Sierra,"$41,265",
27,  Monterey,"$40,922",
28,  Tuolumne,"$39,726",
29,  San Joaquin,"$39,499",
30,  Los Angeles,"$38,371",
31,  Plumas,"$38,241",
32,  Mono,"$38,107",
33,  Mariposa,"$37,251",
34,  Stanislaus,"$36,697",
35,  Colusa,"$36,482",
36,  Riverside,"$36,421",
37,  Shasta,"$36,372",
38,  Yuba,"$36,246",
39,  Butte,"$35,746",
40,  Sutter,"$35,550",
41,  Glenn,"$35,384",
42,  Mendocino,"$35,131",
43,  San Bernardino,"$35,128",
44,  Kings,"$34,797",
45,  Del Norte,"$34,746",
46,  Alpine,"$34,395",
47,  Humboldt,"$33,642",
48,  Lake,"$33,280",
49,  Fresno,"$33,034",
50,  Kern,"$33,025",
51,  Madera,"$32,927",
52,  Tehama,"$32,912",
53,  Merced,"$32,811",
54,  Siskiyou,"$32,184",
55,  Trinity,"$31,292",
56,  Modoc,"$31,193",
57,  Tulare,"$30,746",
58,  Imperial,"$26,740",
Footnotes follow this section.,,,
